Name, Positive Counts, Negative Counts, Score
BernieSanders, 3, 2, 1
HillaryClinton, 3, 1, 2
RoqueDeLaFuente, 0, 0, 0
DonaldTrump, 5, 7, -2
MarcoRubio, 2, 0, 2
TedCruz, 6, 2, 4
